# m_005 fixes: WORD_HYPHEN<tab>CONTINUATION<tab>RESULT
# Edit RESULT to keep hyphen, e.g.: self-<tab>pity<tab>self-pity
Platts-	burg	Plattsburg
attend-	ing	attending
al-	ways	always
intoler-	ant	intolerant
pro-	fession,	profession,
im-	portant	important
dis-	liked	disliked
nine-	teenth	nineteenth
in-	creasingly	increasingly
fright-	ening	frightening
Hang-	overs	Hangovers
fre-	quency	frequency
in-	volved.	involved.
“Re-	hearsals”	“Rehearsals”
crav-	ing	craving
al-	ways	always
con-	stant	constant
re-	turned	returned
wor-	ried	worried
arro-	gant	arrogant
inter-	fere	interfere
be-	yond	beyond
intol-	erant	intolerant
un-	derstand	understand
re-	turn	return
re-	turned.	returned.
pro-	mised,	promised,
ac-	cepted	accepted
follow-	ing	following
try-	ing	trying
my-	self,	myself,
becom-	ing	becoming
drink-	ing	drinking
sani-	tariums,	sanitariums,
hair-	raising	hairraising
un-	manageable.”	unmanageable.”
im-	portant	important
obses-	sion	obsession
sys-	tems.	systems.
de-	gree.	degree.
in-	terferes	interferes
preju-	dice,	prejudice,
be-	come	become
charac-	ter	character
sim-	plified	simplified
meet-	ing	meeting
try-	ing	trying
con-	siderate,	considerate,
respon-	sibilities	responsibilities
edu-	cational	educational
what-	ever	whatever
bur-	dens	burdens
af-	ford	afford
busi-	ness	business
com-	muted	commuted
book-	ish	bookish
dis-	inclination	disinclination
drinking—in-	creased.	drinking—increased.
heterosex-	ual	heterosexual
sep-	arate	separate
be-	came	became
dur-	ing	during
rela-	tions	relations
pri-	vate	private
re-	lationship	relationship
acceler-	ating.	accelerating.
ration-	alization	rationalization
regular-	ity	regularity
some-	times	sometimes
com-	pare	compare
unacknowl-	edged,	unacknowledged,
un-	willing	unwilling
re-	sentments	resentments
any-	thing	anything
af-	ford.	afford.
deci-	sion	decision
be-	cause	because
trans-	portation	transportation
be-	cause	because
car-	tons,	cartons,
self-	pity.	self-pity.
think-	ing	thinking
con-	vinced	convinced
in-	sane,	insane,
de-	cided	decided
meet-	ing,	meeting,
ques-	tions,	questions,
victimiza-	tion	victimization
con-	text	context
some-	times	sometimes
develop-	ing	developing
communica-	tive	communicative
cook-	ies,	cookies,
indi-	viduals,	individuals,
spiri-	tual	spiritual
try-	ing	trying
bedrid-	den	bedridden
gen-	eral	general
con-	ceal	conceal
im-	portant,	important,
every-	one	everyone
every-	body	everybody
be-	ginnings	beginnings
oth-	ers	others
drink-	ing	drinking
re-	member	remember
pos-	sible.	possible.
home-	made	homemade
fic-	tion—I	fiction—I
any-	thing	anything
my-	self	myself
casu-	ally	casually
alco-	holics,	alcoholics,
pe-	culiar	peculiar
some-	thing	something
be-	cause	because
re-	sult?	result?
resent-	ments,	resentments,
fol-	lowed	followed
hos-	pital	hospital
un-	wanted.	unwanted.
un-	dertow	undertow
al-	though	although
re-	tarded,	retarded,
teach-	ers,	teachers,
sis-	ter	sister
coun-	try	country
can-	not	cannot
alco-	holism	alcoholism
begin-	ning	beginning
ex-	periences	experiences
in-	volved	involved
peo-	ple	people
be-	fore,	before,
meet-	ings.	meetings.
as-	pect	aspect
dif-	ferently	differently
dis-	abled	disabled
vol-	unteer	volunteer
club-	man,	clubman,
achieve-	ment	achievement
con-	tinued	continued
run-	down	rundown
hap-	pened.	happened.
my-	self!	myself!
alco-	holic	alcoholic
be-	tween	between
per-	sonality	personality
opin-	ions	opinions
irre-	versible	irreversible
organiza-	tion	organization
guaran-	tees	guarantees
ad-	mit	admit
More-	over,	Moreover,
conven-	tional	conventional
lit-	tle	little
relax-	ation	relaxation
con-	trol	control
ec-	centric,	eccentric,
fin-	gernail	fingernail
world-	weary	worldweary
oth-	ers	others
coun-	sel	counsel
pre-	mature	premature
cou-	ple	couple
tav-	ern,	tavern,
tav-	ern	tavern
twenty-	one	twentyone
de-	cided	decided
trou-	ble,	trouble,
appar-	ently	apparently
cama-	raderie	camaraderie
mar-	riage	marriage
manda-	tory	mandatory
hard-	drinking	harddrinking
four-	bedroom	fourbedroom
manage-	ability	manageability
al-	ways	always
prob-	lem),	problem),
cur-	rent	current
spend-	ing	spending
mid-	dle	middle
drink-	ing	drinking
ter-	rified	terrified
unseason-	ably	unseasonably
fa-	natical	fanatical
ex-	plained	explained
rad-	ically	radically
in-	tently,	intently,
our-	selves	ourselves
pos-	sible	possible
al-	coholic	alcoholic
tin-	gling	tingling
meet-	ings.	meetings.
noth-	ing.	nothing.
some-	thing	something
prod-	ucts	products
in-	teresting	interesting
prob-	lem—the	problem—the
aca-	demic	academic
proj-	ect	project
some-	body’s	somebody’s
doc-	tor’s	doctor’s
spend-	ing	spending
ta-	bles	tables
interest-	ing.	interesting.
some-	one	someone
hav-	ing	having
ten-year-	old.	ten-year-old.
get-	ting	getting
meet-	ing,	meeting,
con-	vention	convention
alcoholic—alco-	holics	alcoholic—alcoholics
din-	ner,	dinner,
destina-	tion,	destination,
ninety-	day	ninetyday
alco-	hol.	alcohol.
awaken-	ings.	awakenings.
air-	plane	airplane
drink-	ing	drinking
bet-	ter	better
sepa-	rate	separate
spiri-	tual	spiritual
spir-	ituality	spirituality
busi-	ness.	business.
ail-	ments.	ailments.
prob-	lem!	problem!
psy-	chiatrists.	psychiatrists.
psy-	chiatrist.	psychiatrist.
solu-	tion:	solution:
be-	cause	because
remem-	ber	remember
an-	swered	answered
morn-	ing.	morning.
through-	out	throughout
short-	acting	shortacting
con-	stantly	constantly
un-	controllable	uncontrollable
Pento-	thal	Pentothal
pos-	session.	possession.
be-	cause	because
There-	fore,	Therefore,
re-	store	restore
mind-	affecting	mind-affecting
com-	fortable.	comfortable.
con-	vulsions,	convulsions,
impend-	ing	impending
put-	ting	putting
un-	derstand	understand
sev-	enth	seventh
envi-	ronment,	environment,
sim-	pler	simpler
psychia-	trist	psychiatrist
re-	alized	realized
hap-	pen.	happen.
ignor-	ing	ignoring
alco-	holic	alcoholic
con-	tinue	continue
our-	selves.	ourselves.
meet-	ing.	meeting.
fel-	low	fellow
thou-	sand	thousand
noth-	ing	nothing
keep-	ing	keeping
symp-	tom,	symptom,
mus-	cle	muscle
bet-	ter	better
drink-	ing	drinking
per-	mission—really,	permission—really,
com-	pulsion	compulsion
concen-	trate	concentrate
com-	plaining	complaining
prob-	lems.	problems.
thirty-	five	thirtyfive
every-	thing	everything
what-	ever	whatever
mar-	ried,	married,
de-	fects,	defects,
in-	creases;	increases;
feel-	ings.	feelings.
how-	ever	however
Eventu-	ally	Eventually
pow-	erless	powerless
expec-	tations.	expectations.
com-	pared	compared
ac-	ceptance	acceptance
swear-	ing	swearing
six-	year-old.	sixyear-old.
obedi-	ent.	obedient.
aca-	demic	academic
confi-	dence	confidence
es-	cape	escape
my-	self	myself
alco-	holics	alcoholics
drink-	ing.	drinking.
sur-	prisingly,	surprisingly,
drink-	ing	drinking
alco-	hol.	alcohol.
con-	trol.	control.
dou-	ble	double
any-	thing	anything
dis-	cussion	discussion
un-	derstanding	understanding
sug-	gestions	suggestions
bet-	ter.	better.
emo-	tions	emotions
mo-	ment.	moment.
miser-	able,	miserable,
ar-	rived	arrived
prepar-	ing	preparing
de-	signed	designed
ac-	tively	actively
salva-	tion.	salvation.
ac-	tive	active
an-	niversary,	anniversary,
mem-	bership	membership
stay-	ing	staying
be-	came	became
grow-	ing	growing
al-	ways	always
thirty-	three	thirtythree
par-	ents,	parents,
anniver-	sary,	anniversary,
morn-	ing	morning
muti-	lated	mutilated
be-	long	belong
re-	treated	retreated
with-	drawn.	withdrawn.
for-	get	forget
be-	came	became
daugh-	ter	daughter
trou-	ble	trouble
con-	sumed	consumed
possi-	ble	possible
resi-	dence	residence
ro-	mance	romance
out-	MY	outMY
relation-	ship	relationship
al-	coholic.	alcoholic.
de-	serting	deserting
charac-	ter.	character.
old-	timers	old-timers
mag-	azine.	magazine.
hap-	pened	happened
hap-	pened	happened
noth-	MY	nothMY
self-centered-	ness	self-centeredness
broth-	ers	brothers
daugh-	ter,	daughter,
home-	town.	hometown.
tan-	gled	tangled
reli-	gious	religious
fa-	ther	father
exam-	ple	example
evan-	gelical—literally	evangelical—literally
intellec-	tual	intellectual
fam-	ily	family
alco-	hol.	alcohol.
home-	town.	hometown.
abu-	sive,	abusive,
get-	ting	getting
com-	fortable	comfortable
be-	lieve	believe
be-	come	become
be-	came	became
termi-	nals.	terminals.
consis-	tently	consistently
spir-	itual	spiritual
flop-	house	flophouse
be-	came	became
alien-	ated	alienated
so-	briety	sobriety
experi-	enced,	experienced,
pro-	gressive	progressive
partici-	pation	participation
privi-	lege	privilege
mes-	sage	message
wish-	ing	wishing
neigh-	borhood,	neighborhood,
re-	turn	return
employ-	ment	employment
eventu-	ally	eventually
con-	trol	control
haz-	ards	hazards
re-	port	report
fight-	ing,	fighting,
com-	mitted	committed
so-	briety	sobriety
spon-	sor,	sponsor,
lis-	tening	listening
be-	came	became
gen-	uinely	genuinely
some-	where	somewhere
accom-	plished	accomplished
al-	though	although
air-	plane	airplane
alco-	holism,	alcoholism,
find-	ing	finding
consider-	ing	considering
some-	what	somewhat
ap-	propriate	appropriate
re-	peated	repeated
surround-	ings	surroundings
pow-	erless	powerless
relation-	ships	relationships
sister-	in-law.	sisterin-law.
good-	bye	goodbye
arrange-	ments	arrangements
remem-	ber	remember
proba-	bly	probably
at-	tempt	attempt
con-	tinued	continued
mar-	ried.	married.
be-	came	became
run-	ning	running
wash-	ers.	washers.
Anony-	mous,	Anonymous,
remem-	bered	remembered
laun-	dromat?	laundromat?
pow-	erless	powerless
con-	vinced	convinced
an-	swers	answers
hon-	est.	honest.
in-	ventory.	inventory.
imag-	ined,	imagined,
allow-	ing	allowing
re-	move	remove
fifth-	grade	fifthgrade
an-	cient	ancient
re-	covery.	recovery.
con-	tact	contact
occa-	sion,	occasion,
alco-	holic	alcoholic
ma-	ture	mature
re-	lationships—at	relationships—at
be-	fore	before
main-	tain	maintain
drink-	ing	drinking
ex-	hibiting	exhibiting
di-	vorce	divorce
ap-	pearance.	appearance.
bleed-	ing	bleeding
won-	derful,	wonderful,
ran-	domly,	randomly,
trans-	plant	transplant
some-	thing	something
pro-	gressively	progressively
sur-	gery.	surgery.
un-	marked	unmarked
trans-	formation,	transformation,
re-	ceived	received
founda-	tion	foundation
di-	vorced.	divorced.
sis-	ters;	sisters;
my-	self.	myself.
bud-	dies	buddies
men-	tioned.	mentioned.
ap-	prentice	apprentice
what-	ever	whatever
blam-	ing	blaming
my-	self	myself
construc-	tion,	construction,
intox-	icated,	intoxicated,
how-	ever,	however,
con-	struction	construction
all-	night	allnight
“weav-	ing”	“weaving”
com-	pany	company
depart-	ment,	department,
ser-	vice	service
com-	fortable	comfortable
drink-	ing.	drinking.
think-	ing,	thinking,
drink-	ing	drinking
look-	ing,	looking,
bud-	dies	buddies
ef-	fects	effects
no-	body’s	nobody’s
an-	swer.	answer.
geo-	graphics.	geographics.
at-	tempts	attempts
ef-	forts	efforts
psy-	chiatrist	psychiatrist
ex-	plained	explained
hun-	dred	hundred
in-	side	inside
find-	ing	finding
re-	mained	remained
examina-	tions,	examinations,
diag-	nosed	diagnosed
meet-	ings	meetings
se-	rious,	serious,
peo-	ple	people
at-	tempt	attempt
ex-	hausted	exhausted
under-	stand	understand
phys-	ically,	physically,
help-	ing	helping
pro-	gram	program
sec-	retary	secretary
hon-	estly	honestly
fa-	ther’s	father’s
occa-	sions	occasions
Mic-	Mac	MicMac
re-	solved	resolved
fif-	teen	fifteen
birth-	day,	birthday,
re-	turn	return
re-	fused	refused
re-	morse	remorse
re-	member	remember
ex-	citedly	excitedly
psy-	chiatric	psychiatric
argu-	ment	argument
pro-	gram,	program,
know-	ing	knowing
reser-	vation.	reservation.
laugh-	ter	laughter
pro-	gram.	program.
drink-	ing,	drinking,
Anony-	mous	Anonymous
oth-	ers.	others.
ex-	policeman	expoliceman
inso-	lence.	insolence.
experi-	ences	experiences
won-	der	wonder
high-	way.	highway.
water-	front	waterfront
uncom-	fortable	uncomfortable
exagger-	ated	exaggerated
ob-	ject	object
some-	times	sometimes
indus-	try,	industry,
sur-	vived	survived
al-	ready	already
un-	easiness	uneasiness
under-	scored	underscored
direc-	tion	direction
hy-	giene	hygiene
police-	man’s	policeman’s
al-	most	almost
peo-	ple	people
merry-	go-round,	merrygo-round,
ran-	dom	random
peniten-	tiary	penitentiary
sec-	ond,	second,
low-	est,	lowest,
ex-	cept	except
win-	dow	window
sur-	roundings.	surroundings.
simi-	lar	similar
re-	late	relate
some-	thing	something
be-	came	became
bet-	ter	better
meetings—espe-	cially	meetings—especially
in-	tended	intended
al-	cohol	alcohol
drink-	ing?	drinking?
breatha-	lyzers	breathalyzers
some-	thing	something
about—grati-	tude	about—gratitude
au-	thorities	authorities
pro-	gram’s	program’s
spiri-	tual	spiritual
pon-	der	ponder
drink-	ing.	drinking.
treat-	ment	treatment
inade-	quate.	inadequate.
any-	way?	anyway?
so-	cial	social
excel-	lent	excellent
con-	taining	containing
moth-	ers	mothers
inher-	ited	inherited
un-	pack.	unpack.
mo-	ment	moment
pa-	rade.	parade.
treat-	ment	treatment
al-	ready	already
some-	one	someone
re-	sponsible	responsible
be-	cause	because
mat-	ter.	matter.
any-	more—that	anymore—that
sev-	eral	several
my-	self	myself
remem-	ber	remember
chil-	dren	children
relation-	ship	relationship
chil-	dren.	children.
sev-	eral	several
at-	tempt	attempt
al-	coholic.	alcoholic.
prod-	uct	product
be-	lieving	believing
im-	mediately	immediately
cama-	raderie,	camaraderie,
op-	portunity	opportunity
cama-	raderie,	camaraderie,
birth-	day,	birthday,
anni-	versary,	anniversary,
re-	turned.	returned.
fam-	ily	family
struc-	ture	structure
en-	dured	endured
be-	lieve	believe
un-	able	unable
de-	stroyed,	destroyed,
med-	ical	medical
previ-	ously	previously
in-	tense,	intense,
co-	defendants.	codefendants.
some-	thing	something
mo-	ments	moments
pro-	bation,	probation,
high-	est	highest
li-	cense.	license.
ex-	traordinary	extraordinary
ex-	actly	exactly
passen-	gers.	passengers.
re-	ceived	received
morn-	ing,	morning,
retire-	ment	retirement
imag-	ined.	imagined.
ex-	ceeds	exceeds
yes-	terdays.	yesterdays.
con-	cluded	concluded
meet-	ing.	meeting.
low-	down,	lowdown,
treat-	ment.	treatment.
ex-	cept	except
con-	stant	constant
cer-	tainly	certainly
col-	lege.	college.
circum-	stances	circumstances
con-	structive,	constructive,
al-	though	although
so-	phisticated.	sophisticated.
de-	manded	demanded
gather-	ings	gatherings
pro-	motion.	promotion.
al-	coholism.	alcoholism.
im-	possible	impossible
son-	in-law	sonin-law
dark-	ness.	darkness.
sit-	ting	sitting
an-	other	another
“grate-	ful	“grateful
meet-	ings	meetings
state-	ment.	statement.
meet-	ing	meeting
so-	briety	sobriety
experi-	ence	experience
resent-	ful	resentful
reduc-	ing	reducing
al-	coholism;	alcoholism;
foun-	dation	foundation
un-	tangle	untangle
ulti-	mately	ultimately
some-	one	someone
re-	sponsible	responsible
un-	derstanding	understanding
in-	fluence	influence
accep-	tance	acceptance
appear-	ances	appearances
men-	tally,	mentally,
per-	sonal	personal
ac-	cepted	accepted
be-	hind	behind
avail-	able.	available.
watch-	ing	watching
con-	tact	contact
hap-	pier	happier
seri-	ous	serious
con-	ditions,”	conditions,”
hap-	pened	happened
hap-	pened	happened
ex-	planation	explanation
self-	sufficient,	self-sufficient,
unlim-	ited	unlimited
philoso-	phy,”	philosophy,”
con-	vince	convince
thirty-	three,	thirtythree,
appar-	ently	apparently
fail-	ure	failure
self-	analysis	self-analysis
sur-	vive.	survive.
be-	ginning	beginning
lit-	tle	little
pos-	sible	possible
hus-	band	husband
aver-	age	average
interven-	ing	intervening
ad-	justment	adjustment
humilia-	tion	humiliation
rational-	izing	rationalizing
mar-	riage.	marriage.
re-	sentment	resentment
con-	structive	constructive
un-	able	unable
inevi-	table	inevitable
repe-	tition—I	repetition—I
mother-	less	motherless
sani-	tarium	sanitarium
de-	cision	decision
impos-	sible	impossible
begin-	ning.	beginning.
be-	havior	behavior
oppor-	tunity	opportunity
prin-	ciples	principles
resent-	ment	resentment
nur-	tured	nurtured
be-	cause	because
an-	other	another
ev-	erything	everything
every-	thing	everything
par-	ents	parents
over-	achiever.	overachiever.
com-	pany	company
mag-	azines.	magazines.
twenty-	two,	twentytwo,
Neu-	rotic	Neurotic
uncon-	trollable	uncontrollable
disappoint-	ments	disappointments
fre-	quently—my	frequently—my
ar-	rived	arrived
pot-	belly,	potbelly,
pro-	nounced	pronounced
out-	side	outside
occa-	sion.	occasion.
fran-	tically	frantically
In-	stead	Instead
hap-	pened.	happened.
eso-	phageal	esophageal
prob-	ably	probably
re-	liability	reliability
prob-	lems	problems
Alco-	holics	Alcoholics
shar-	ing	sharing
our-	selves	ourselves
gar-	bage”	garbage”
sensi-	tivity	sensitivity
posi-	tion	position
mem-	bers.	members.
“God-	consciousness”	“Godconsciousness”
self-	discipline.	self-discipline.
‘self-	insurance.’	‘selfinsurance.’
self-	respect	self-respect
